	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	EndTrialTimeStamp	stopSignalOnset	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	feedbackResp.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 131
20				z	0.0	-200.0										4.0	1.0	9.0	0.0																																																				236.89741683	stop	hexagonwhite.gif	stop	1.0	z	1.0	0.317473173141	None	0.0	0.00098705291748	0.515413045883	239.900360823	0.766000986099																																											2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
21																																																																																					9.0	92.501760006																																									2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
22																																																						9.0	2.9038438797																																																																								2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
23	-200.0	q	200.0																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0																													q	1.0	0.534712076187	None	0.0	4.0	invertedtrianglegreen.gif	stop																								4.0	0.514346122742	0.000900983810425	0.534712076187	1.0	q	338.478682995																																		2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
24	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0																													a	1.0	0.45072388648999995	None	0.0	4.0	invertedtrianglegreen.gif	stop																								4.03	0.514037132263	0.0008981227874760001	0.45072388649	1.0	a	341.48162484200003																																		2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
25	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	0.0	2.0	2.0	3.0																													a	1.0	0.48430204391500004	None	0.0	1.0	circlecyan.gif	go																								0.0	0.5146970748899999	0.0008971691131589999	0.484302043915	1.0	a	344.48541498199995																																		2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
26	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0																													a	1.0	0.46784901618999997	None	0.0	4.0	lineorange.gif	go																								4.17	0.513543844223	0.000998973846436	0.46784901619	1.0	a	347.488561869																																		2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
27	200.0	s	-200.0																	0.0	0.0	0.0	0.0	1.0	0.0	4.0	2.0																													s	1.0	0.501188993454	None	0.0	2.0	squareblue.gif	go																								2.07	0.5142738819120001	0.000900030136108	0.501188993454	1.0	s	350.49184393900003																																		2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
28	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	1.0	1.0	5.0	3.0																													a	1.0	0.468027114868	None	0.0	2.0	triangleyellow.gif	stop																								1.99	0.514380931854	0.000900983810425	0.468027114868	1.0	a	353.495280981																																		2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
29	200.0	s	-200.0																	0.0	0.0	0.0	0.0	1.0	2.0	6.0	2.0																													s	1.0	0.551490068436	None	0.0	1.0	hexagonwhite.gif	stop																								1.19	0.514014959335	0.000941038131714	0.551490068436	1.0	s	356.498452902																																		2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
